question,reponse,categorie,langue,dialecte_tunisien,question_length,reponse_length,question_words,reponse_words,question_clean,reponse_clean
Quel est le salaire minimum en Tunisie?,Le SMIG en Tunisie est d'environ 430 TND pour 48 heures par semaine dans le secteur non-agricole.,economie,fr,non,39,97,7,17,Quel est le salaire minimum en Tunisie?,Le SMIG en Tunisie est d'environ 430 TND pour 48 heures par semaine dans le secteur non-agricole.
9adech le SMIG في تونس?,Le SMIG في تونس حوالي 430 TND ل 48 ساعة في الأسبوع في القطاع الغير فلاحي.,economie,tn,oui,23,73,5,16,9adech le SMIG في تونس?,Le SMIG في تونس حوالي 430 TND ل 48 ساعة في الأسبوع في القطاع الغير فلاحي.
What banks operate in Tunisia?,Major banks in Tunisia include STB BIAT BNA Amen Bank Attijari Bank BH Bank and UIB among others.,economie,en,non,30,97,5,18,What banks operate in Tunisia?,Major banks in Tunisia include STB BIAT BNA Amen Bank Attijari Bank BH Bank and UIB among others.
Chnowa les banques الموجودة في تونس?,من les banques الكبار في تونس STB و BIAT و BNA و Amen Bank و Attijari Bank و BH Bank و UIB وأخرين.,economie,tn,oui,36,98,6,23,Chnowa les banques الموجودة في تونس?,من les banques الكبار في تونس STB و BIAT و BNA و Amen Bank و Attijari Bank و BH Bank و UIB وأخرين.
Comment acheter un billet de train en Tunisie?,Vous pouvez acheter vos billets de train aux guichets des gares ou en ligne sur le site de la SNCFT.,transport,fr,non,46,100,8,20,Comment acheter un billet de train en Tunisie?,Vous pouvez acheter vos billets de train aux guichets des gares ou en ligne sur le site de la SNCFT.
Kifech nechri billet de train في تونس?,تنجم تشري billets de train من les guichets في المحطات ولا en ligne من موقع SNCFT.,transport,tn,oui,38,81,7,16,Kifech nechri billet de train في تونس?,تنجم تشري billets de train من les guichets في المحطات ولا en ligne من موقع SNCFT.
What are the main train routes in Tunisia?,Main routes include Tunis-Sousse Tunis-Sfax Tunis-Gabes and regional connections to suburbs and cities.,transport,en,non,42,103,8,13,What are the main train routes in Tunisia?,Main routes include Tunis-Sousse Tunis-Sfax Tunis-Gabes and regional connections to suburbs and cities.
Chnowa أهم خطوط القطار في تونس?,أهم الخطوط تونس-سوسة تونس-صفاقس تونس-قابس و connexions للضواحي و المدن.,transport,tn,oui,31,71,6,10,Chnowa أهم خطوط القطار في تونس?,أهم الخطوط تونس-سوسة تونس-صفاقس تونس-قابس و connexions للضواحي و المدن.
Où acheter une voiture d'occasion en Tunisie?,Vous pouvez acheter une voiture d'occasion sur Tayara.tn AutoPlus ou directement chez des concessionnaires.,automobile,fr,non,45,107,7,14,Où acheter une voiture d'occasion en Tunisie?,Vous pouvez acheter une voiture d'occasion sur Tayara.tn AutoPlus ou directement chez des concessionnaires.
Win nechri voiture occasion في تونس?,تنجم تشري voiture occasion من Tayara.tn ولا AutoPlus ولا من عند les concessionnaires مباشرة.,automobile,tn,oui,36,92,6,14,Win nechri voiture occasion في تونس?,تنجم تشري voiture occasion من Tayara.tn ولا AutoPlus ولا من عند les concessionnaires مباشرة.
What documents do I need to buy a car in Tunisia?,You need your CIN proof of address and for used cars the previous registration certificate and technical control certificate.,automobile,en,non,49,125,11,19,What documents do I need to buy a car in Tunisia?,You need your CIN proof of address and for used cars the previous registration certificate and technical control certificate.
Chnowa les documents إلي لازمين باش نشري كرهبة?,لازمك CIN و justificatif de domicile و للكراهب المستعملة carte grise القديمة و certificat de contrôle technique.,automobile,tn,oui,47,112,8,17,Chnowa les documents إلي لازمين باش نشري كرهبة?,لازمك CIN و justificatif de domicile و للكراهب المستعملة carte grise القديمة و certificat de contrôle technique.
Comment trouver un emploi en Tunisie?,Vous pouvez chercher un emploi sur des sites comme Tanitjobs Emploi.tn LinkedIn ou via les agences de recrutement.,emploi,fr,non,37,114,6,18,Comment trouver un emploi en Tunisie?,Vous pouvez chercher un emploi sur des sites comme Tanitjobs Emploi.tn LinkedIn ou via les agences de recrutement.
Kifech nl9a خدمة في تونس?,تنجم تلوج على خدمة في sites كيما Tanitjobs و Emploi.tn و LinkedIn ولا من خلال agences de recrutement.,emploi,tn,oui,25,101,5,18,Kifech nl9a خدمة في تونس?,تنجم تلوج على خدمة في sites كيما Tanitjobs و Emploi.tn و LinkedIn ولا من خلال agences de recrutement.
What is the unemployment rate in Tunisia?,The unemployment rate in Tunisia fluctuates around 15-16% with higher rates among youth and graduates.,emploi,en,non,41,102,7,15,What is the unemployment rate in Tunisia?,The unemployment rate in Tunisia fluctuates around 15-16% with higher rates among youth and graduates.
9adech نسبة البطالة في تونس?,نسبة البطالة في تونس تقريبا 15-16% و أكثر عند الشباب و خريجي الجامعات.,emploi,tn,oui,28,70,5,13,9adech نسبة البطالة في تونس?,نسبة البطالة في تونس تقريبا 15-16% و أكثر عند الشباب و خريجي الجامعات.
Quels sont les sites touristiques à visiter en Tunisie?,Les sites majeurs incluent Carthage Sidi Bou Said le musée du Bardo Dougga Kairouan et les îles de Djerba et Kerkennah.,tourisme,fr,non,55,119,9,21,Quels sont les sites touristiques à visiter en Tunisie?,Les sites majeurs incluent Carthage Sidi Bou Said le musée du Bardo Dougga Kairouan et les îles de Djerba et Kerkennah.
Chnowa les sites touristiques إلي لازم نزورهم في تونس?,المواقع الرئيسية قرطاج سيدي بوسعيد متحف باردو دقة القيروان و جزر جربة و قرقنة.,tourisme,tn,oui,54,78,9,14,Chnowa les sites touristiques إلي لازم نزورهم في تونس?,المواقع الرئيسية قرطاج سيدي بوسعيد متحف باردو دقة القيروان و جزر جربة و قرقنة.
How much does a hotel cost in Tunis?,Hotel prices in Tunis range from 50 TND for budget hotels to 300+ TND for luxury hotels per night.,tourisme,en,non,36,98,8,19,How much does a hotel cost in Tunis?,Hotel prices in Tunis range from 50 TND for budget hotels to 300+ TND for luxury hotels per night.
B9adech يكلف فندق في تونس?,أسعار الفنادق في تونس تبدا من 50 TND للفنادق الاقتصادية لـ300+ TND للفنادق الفاخرة في الليلة.,tourisme,tn,oui,26,93,5,16,B9adech يكلف فندق في تونس?,أسعار الفنادق في تونس تبدا من 50 TND للفنادق الاقتصادية لـ300+ TND للفنادق الفاخرة في الليلة.
Comment obtenir un permis de conduire en Tunisie?,Pour obtenir un permis vous devez vous inscrire dans une auto-école passer l'examen théorique puis pratique.,automobile,fr,non,49,108,8,16,Comment obtenir un permis de conduire en Tunisie?,Pour obtenir un permis vous devez vous inscrire dans une auto-école passer l'examen théorique puis pratique.
Kifech n3amel permis de conduire في تونس?,لازمك تسجل في auto-école و تعدي examen théorique و بعد examen pratique.,automobile,tn,oui,41,71,7,12,Kifech n3amel permis de conduire في تونس?,لازمك تسجل في auto-école و تعدي examen théorique و بعد examen pratique.
What are the traffic rules in Tunisia?,Tunisia follows right-hand traffic speed limits are 50 km/h in cities 90 km/h on open roads and 110 km/h on highways.,automobile,en,non,38,117,7,21,What are the traffic rules in Tunisia?,Tunisia follows right-hand traffic speed limits are 50 km/h in cities 90 km/h on open roads and 110 km/h on highways.
Chnowa قوانين المرور في تونس?,تونس تتبع circulation على اليمين السرعة المحددة 50 km/h في المدن 90 km/h في الطرق و 110 km/h في الطرق السريعة.,automobile,tn,oui,29,110,5,21,Chnowa قوانين المرور في تونس?,تونس تتبع circulation على اليمين السرعة المحددة 50 km/h في المدن 90 km/h في الطرق و 110 km/h في الطرق السريعة.
Où faire du shopping à Tunis?,Vous pouvez faire du shopping au souk de la Médina à l'Avenue Habib Bourguiba ou dans les centres commerciaux comme Tunisia Mall.,shopping,fr,non,29,129,6,22,Où faire du shopping à Tunis?,Vous pouvez faire du shopping au souk de la Médina à l'Avenue Habib Bourguiba ou dans les centres commerciaux comme Tunisia Mall.
Win n9dar n3amel shopping في تونس?,تنجم تعمل shopping في سوق المدينة في Avenue Habib Bourguiba ولا في centres commerciaux كيما Tunisia Mall.,shopping,tn,oui,34,105,6,17,Win n9dar n3amel shopping في تونس?,تنجم تعمل shopping في سوق المدينة في Avenue Habib Bourguiba ولا في centres commerciaux كيما Tunisia Mall.
What are popular Tunisian dishes?,Popular dishes include couscous brik lablabi ojja makroudh and bambalouni among many others.,culture,en,non,33,92,5,13,What are popular Tunisian dishes?,Popular dishes include couscous brik lablabi ojja makroudh and bambalouni among many others.
Chnowa les plats التونسية المشهورة?,من الأطباق المشهورة الكسكسي البريك اللبلابي العجة المقروض و البمبلوني وبرشة أخرين.,culture,tn,oui,35,82,5,12,Chnowa les plats التونسية المشهورة?,من الأطباق المشهورة الكسكسي البريك اللبلابي العجة المقروض و البمبلوني وبرشة أخرين.
Comment obtenir une carte SIM en Tunisie?,Vous pouvez acheter une carte SIM prépayée des opérateurs Ooredoo Orange ou TT dans leurs boutiques avec votre passeport ou CIN.,telecommunication,fr,non,41,128,7,21,Comment obtenir une carte SIM en Tunisie?,Vous pouvez acheter une carte SIM prépayée des opérateurs Ooredoo Orange ou TT dans leurs boutiques avec votre passeport ou CIN.
Kifech nechri carte SIM في تونس?,تنجم تشري carte SIM prépayée من Ooredoo و Orange و TT من محلاتهم معاك passeport ولا CIN.,telecommunication,tn,oui,32,88,6,17,Kifech nechri carte SIM في تونس?,تنجم تشري carte SIM prépayée من Ooredoo و Orange و TT من محلاتهم معاك passeport ولا CIN.
What is the internet speed in Tunisia?,Internet speeds in Tunisia vary from 4-20 Mbps for ADSL to 100+ Mbps for fiber optic connections depending on the provider and location.,telecommunication,en,non,38,136,7,23,What is the internet speed in Tunisia?,Internet speeds in Tunisia vary from 4-20 Mbps for ADSL to 100+ Mbps for fiber optic connections depending on the provider and location.
9adech vitesse internet في تونس?,سرعة internet في تونس من 4-20 Mbps للـADSL لـ100+ Mbps للـfibre optique حسب المزود و المنطقة.,telecommunication,tn,oui,32,93,5,16,9adech vitesse internet في تونس?,سرعة internet في تونس من 4-20 Mbps للـADSL لـ100+ Mbps للـfibre optique حسب المزود و المنطقة.
Quels festivals ont lieu en Tunisie?,Les festivals majeurs incluent le Festival de Carthage le Festival d'El Jem et le Festival du Sahara à Douz.,culture,fr,non,36,108,6,19,Quels festivals ont lieu en Tunisie?,Les festivals majeurs incluent le Festival de Carthage le Festival d'El Jem et le Festival du Sahara à Douz.
Chnowa المهرجانات إلي تصير في تونس?,من المهرجانات الكبيرة مهرجان قرطاج مهرجان الجم و مهرجان الصحراء في دوز.,culture,tn,oui,35,71,6,12,Chnowa المهرجانات إلي تصير في تونس?,من المهرجانات الكبيرة مهرجان قرطاج مهرجان الجم و مهرجان الصحراء في دوز.
When is the best time to visit Tunisia?,The best time to visit Tunisia is during spring March-May and fall September-November when the weather is pleasant.,tourisme,en,non,39,115,8,18,When is the best time to visit Tunisia?,The best time to visit Tunisia is during spring March-May and fall September-November when the weather is pleasant.
Waktesh أحسن وقت باش نزور تونس?,أحسن وقت باش تزور تونس في الربيع مارس-ماي و الخريف سبتمبر-نوفمبر وين الجو يكون مليح.,tourisme,tn,oui,31,84,6,15,Waktesh أحسن وقت باش نزور تونس?,أحسن وقت باش تزور تونس في الربيع مارس-ماي و الخريف سبتمبر-نوفمبر وين الجو يكون مليح.
Comment contacter la police en Tunisie?,Le numéro d'urgence de la police en Tunisie est le 197.,urgence,fr,non,39,55,6,11,Comment contacter la police en Tunisie?,Le numéro d'urgence de la police en Tunisie est le 197.
Kifech nتصل بالبوليس في تونس?,رقم الطوارئ للبوليس في تونس هو 197.,urgence,tn,oui,29,35,5,7,Kifech nتصل بالبوليس في تونس?,رقم الطوارئ للبوليس في تونس هو 197.
What is the emergency number for ambulance?,The emergency ambulance number in Tunisia is 190.,urgence,en,non,43,49,7,8,What is the emergency number for ambulance?,The emergency ambulance number in Tunisia is 190.
Chnowa رقم الإسعاف?,رقم الإسعاف في تونس هو 190.,urgence,tn,oui,19,27,3,6,Chnowa رقم الإسعاف?,رقم الإسعاف في تونس هو 190.
Où puis-je échanger des devises en Tunisie?,Vous pouvez échanger des devises dans les banques les bureaux de change agréés et certains hôtels.,economie,fr,non,43,98,7,16,Où puis-je échanger des devises en Tunisie?,Vous pouvez échanger des devises dans les banques les bureaux de change agréés et certains hôtels.
Win n9dar nbaddel devise في تونس?,تنجم تبدل devise في البنوك و bureaux de change agréés و بعض الفنادق.,economie,tn,oui,33,68,6,13,Win n9dar nbaddel devise في تونس?,تنجم تبدل devise في البنوك و bureaux de change agréés و بعض الفنادق.
Can I use credit cards in Tunisia?,Credit cards are widely accepted in hotels restaurants and shops in major cities but cash is preferred in rural areas.,economie,en,non,34,118,7,20,Can I use credit cards in Tunisia?,Credit cards are widely accepted in hotels restaurants and shops in major cities but cash is preferred in rural areas.
N9dar nesta3mel cartes de crédit في تونس?,Cartes de crédit مقبولة برشة في الفنادق و المطاعم و المحلات في المدن الكبيرة أما في المناطق الريفية الكاش أفضل.,economie,tn,oui,41,111,7,20,N9dar nesta3mel cartes de crédit في تونس?,Cartes de crédit مقبولة برشة في الفنادق و المطاعم و المحلات في المدن الكبيرة أما في المناطق الريفية الكاش أفضل.
Quel temps fait-il en Tunisie en été?,En été les températures en Tunisie peuvent atteindre 35-40°C dans les régions côtières et encore plus dans le sud.,meteo,fr,non,37,114,7,19,Quel temps fait-il en Tunisie en été?,En été les températures en Tunisie peuvent atteindre 35-40°C dans les régions côtières et encore plus dans le sud.
Kifech ykon le temps في تونس في الصيف?,في الصيف الحرارة في تونس تنجم توصل لـ35-40°C في المناطق الساحلية و أكثر في الجنوب.,meteo,tn,oui,38,82,8,15,Kifech ykon le temps في تونس في الصيف?,في الصيف الحرارة في تونس تنجم توصل لـ35-40°C في المناطق الساحلية و أكثر في الجنوب.
Does it rain in Tunisia?,Tunisia experiences most rainfall during winter months November-March while summers are generally dry.,meteo,en,non,24,102,5,13,Does it rain in Tunisia?,Tunisia experiences most rainfall during winter months November-March while summers are generally dry.
Tمطر في تونس?,تونس تعرف أكثر أمطار في أشهر الشتاء نوفمبر-مارس و الصيف عادة جاف.,meteo,tn,oui,13,65,3,12,Tمطر في تونس?,تونس تعرف أكثر أمطار في أشهر الشتاء نوفمبر-مارس و الصيف عادة جاف.
Comment rejoindre l'aéroport de Tunis-Carthage?,Vous pouvez prendre un taxi un bus de la ligne TUT ou utiliser un service de VTC.,transport,fr,non,47,81,5,17,Comment rejoindre l'aéroport de Tunis-Carthage?,Vous pouvez prendre un taxi un bus de la ligne TUT ou utiliser un service de VTC.
Kifech noussol لمطار تونس قرطاج?,تنجم تاخو taxi ولا bus ligne TUT ولا تستعمل service de VTC.,transport,tn,oui,32,59,5,12,Kifech noussol لمطار تونس قرطاج?,تنجم تاخو taxi ولا bus ligne TUT ولا تستعمل service de VTC.
What airlines fly to Tunisia?,Major airlines include Tunisair Turkish Airlines Air France Lufthansa and low-cost carriers like Transavia and Nouvelair.,transport,en,non,29,121,5,16,What airlines fly to Tunisia?,Major airlines include Tunisair Turkish Airlines Air France Lufthansa and low-cost carriers like Transavia and Nouvelair.
Chnowa شركات الطيران إلي تطير لتونس?,من الشركات الكبيرة Tunisair Turkish Airlines Air France Lufthansa و شركات low-cost كيما Transavia و Nouvelair.,transport,tn,oui,36,110,6,16,Chnowa شركات الطيران إلي تطير لتونس?,من الشركات الكبيرة Tunisair Turkish Airlines Air France Lufthansa و شركات low-cost كيما Transavia و Nouvelair.
Quelles universités sont les meilleures en Tunisie?,Les universités réputées incluent l'Université de Tunis El Manar l'ESPRIT Polytechnique et l'Institut Préparatoire aux Études d'Ingénieurs.,education,fr,non,51,139,7,17,Quelles universités sont les meilleures en Tunisie?,Les universités réputées incluent l'Université de Tunis El Manar l'ESPRIT Polytechnique et l'Institut Préparatoire aux Études d'Ingénieurs.
Chnowa أحسن جامعات في تونس?,من الجامعات المعروفة Université de Tunis El Manar و ESPRIT و Polytechnique و Institut Préparatoire.,education,tn,oui,27,99,5,15,Chnowa أحسن جامعات في تونس?,من الجامعات المعروفة Université de Tunis El Manar و ESPRIT و Polytechnique و Institut Préparatoire.
How much are university fees in Tunisia?,Public universities charge minimal fees around 200-500 TND per year while private institutions can cost 3000-8000 TND or more.,education,en,non,40,126,7,19,How much are university fees in Tunisia?,Public universities charge minimal fees around 200-500 TND per year while private institutions can cost 3000-8000 TND or more.
B9adech frais universitaires في تونس?,الجامعات العمومية frais قليلة حوالي 200-500 TND في السنة و الخاصة تنجم تكلف 3000-8000 TND ولا أكثر.,education,tn,oui,37,99,5,17,B9adech frais universitaires في تونس?,الجامعات العمومية frais قليلة حوالي 200-500 TND في السنة و الخاصة تنجم تكلف 3000-8000 TND ولا أكثر.
Comment trouver un logement étudiant?,Vous pouvez chercher sur les groupes Facebook universitaires les sites comme Mubawab ou contacter les foyers universitaires.,education,fr,non,37,124,5,17,Comment trouver un logement étudiant?,Vous pouvez chercher sur les groupes Facebook universitaires les sites comme Mubawab ou contacter les foyers universitaires.
Kifech nl9a سكن طلابي?,تنجم تلوج في groupes Facebook universitaires و sites كيما Mubawab ولا تتصل بالمبيتات الجامعية.,education,tn,oui,22,94,4,14,Kifech nl9a سكن طلابي?,تنجم تلوج في groupes Facebook universitaires و sites كيما Mubawab ولا تتصل بالمبيتات الجامعية.
Are there scholarships available in Tunisia?,Yes Tunisia offers scholarships through the Ministry of Higher Education and some private organizations and international programs.,education,en,non,44,131,6,17,Are there scholarships available in Tunisia?,Yes Tunisia offers scholarships through the Ministry of Higher Education and some private organizations and international programs.
Famma bourses d'études في تونس?,نعم تونس تقدم bourses من خلال وزارة التعليم العالي و بعض المنظمات الخاصة و البرامج الدولية.,education,tn,oui,31,91,5,16,Famma bourses d'études في تونس?,نعم تونس تقدم bourses من خلال وزارة التعليم العالي و بعض المنظمات الخاصة و البرامج الدولية.
Où puis-je pratiquer du sport à Tunis?,Vous pouvez vous inscrire dans des salles de sport comme Fitness Zone Moving ou utiliser les espaces publics et clubs sportifs.,sport,fr,non,38,127,7,21,Où puis-je pratiquer du sport à Tunis?,Vous pouvez vous inscrire dans des salles de sport comme Fitness Zone Moving ou utiliser les espaces publics et clubs sportifs.
