question,reponse,categorie,langue,dialecte_tunisien
Are there scholarships available in Tunisia?,Yes Tunisia offers scholarships through the Ministry of Higher Education and some private organizations and international programs.,education,en,non
Famma bourses d'études في تونس?,نعم تونس تقدم bourses من خلال وزارة التعليم العالي و بعض المنظمات الخاصة و البرامج الدولية.,education,tn,oui
Où puis-je pratiquer du sport à Tunis?,Vous pouvez vous inscrire dans des salles de sport comme Fitness Zone Moving ou utiliser les espaces publics et clubs sportifs.,sport,fr,non
Win n9dar n3amel sport في تونس?,تنجم تسجل في salles de sport كيما Fitness Zone و Moving ولا تستعمل الفضاءات العمومية و النوادي الرياضية.,sport,tn,oui
What sports are popular in Tunisia?,Popular sports include football handball basketball volleyball and individual sports like tennis and athletics.,sport,en,non
Chnowa الرياضات المشهورة في تونس?,الرياضات المشهورة كرة القدم كرة اليد كرة السلة الكرة الطائرة و رياضات فردية كيما التنس و ألعاب القوى.,sport,tn,oui
Comment obtenir un certificat de naissance?,Rendez-vous à la municipalité de votre lieu de naissance avec votre CIN pour obtenir une copie de votre acte de naissance.,administration,fr,non
Kifech n3amel acte de naissance?,امشي للبلدية متاع بلاصة ولادتك معاك CIN باش تاخو copie من acte de naissance mtè3ek.,administration,tn,oui
How do I renew my ID card in Tunisia?,Visit your local municipality with your old CIN two photos and the required fees to renew your national ID card.,administration,en,non
Kifech njaddad CIN في تونس?,زور البلدية المحلية معاك CIN القديمة و زوز photos و frais المطلوبة باش تجدد CIN.,administration,tn,oui
